time_stamp,prefix,idx,code,x_type,family,subfamily,name_short,treatment_short,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
2019-04-21,103,65,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Pies - Depilacion - 6 sesiones - 5 min,LASER M22 IPL,Pies,Depilacion,-1,6 sesiones,5 min,2500,1500,1200,-1,-1,-1
2019-04-21,103,66,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Rostro - Depilacion - 6 sesiones - 15 min,LASER M22 IPL,Rostro,Depilacion,-1,6 sesiones,15 min,4000,3000,2400,-1,-1,-1
2019-04-21,103,67,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Cuello - Depilacion - 6 sesiones - 15 min,LASER M22 IPL,Cuello,Depilacion,-1,6 sesiones,15 min,4000,3000,2400,-1,-1,-1
2019-04-21,103,68,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Ariolas - Depilacion - 6 sesiones - 15 min,LASER M22 IPL,Ariolas,Depilacion,-1,6 sesiones,15 min,4000,3000,2400,-1,-1,-1
2019-04-21,103,69,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Axilas - Depilacion - 6 sesiones - 15 min,LASER M22 IPL,Axilas,Depilacion,-1,6 sesiones,15 min,4000,3000,2400,-1,-1,-1
2019-04-21,103,70,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Pecho - Depilacion - 6 sesiones - 15 min,LASER M22 IPL,Pecho,Depilacion,-1,6 sesiones,15 min,4000,3000,2400,-1,-1,-1
2019-04-21,103,71,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Abdomen - Depilacion - 6 sesiones - 15 min,LASER M22 IPL,Abdomen,Depilacion,-1,6 sesiones,15 min,4000,3000,2400,-1,-1,-1
2019-04-21,103,72,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Espalda - Depilacion - 6 sesiones - 15 min,LASER M22 IPL,Espalda,Depilacion,-1,6 sesiones,15 min,4000,3000,2400,-1,-1,-1
2019-04-21,103,73,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Hombros - Depilacion - 6 sesiones - 15 min,LASER M22 IPL,Hombros,Depilacion,-1,6 sesiones,15 min,4000,3000,2400,-1,-1,-1
2019-04-21,103,74,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Manos - Depilacion - 6 sesiones - 15 min,LASER M22 IPL,Manos,Depilacion,-1,6 sesiones,15 min,4000,3000,2400,-1,-1,-1
